ack 3.7.0-2
touchegg 2.0.17-1
trash 1.5.2-1
tree 2.1.1-1
ttf-font-awesome 6.4.0-1
ttf-jetbrains-mono 2.304-1
ueberzug 18.2.2-1
unzip 6.0-19
upower 1.90.2-1
v4l2loopback-dkms 0.12.7-2
vi 1:070224-6
vim 9.0.1736-2
vital-synth 1.5.5-1
vmpk 0.8.9-1
w3m 0.5.3.git20230121_1-1
wayland 1.22.0-1
wget 1.21.4-1
which 2.21-6
wlroots 0.16.2-2
wmctrl 1.07-6
wolf-shaper 1.0.2-1
wolf-spectrum 1.0.0-2
xautolock 2.2-6
xclip 0.13-4
xcompmgr 1.1.9-1
xdotool 3.20211022.1-1
xf86-video-vesa 2.6.0-1
xfce4-power-manager 4.18.2-1
xorg-bdftopcf 1.1.1-1
xorg-docs 1.7.2-2
xorg-font-util 1.4.0-1
xorg-fonts-100dpi 1.0.4-2
xorg-fonts-75dpi 1.0.4-1
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1
xorg-server-devel 21.1.8-2
xorg-server-xephyr 21.1.8-2
xorg-server-xnest 21.1.8-2
xorg-server-xvfb 21.1.8-2
xorg-sessreg 1.1.3-1
xorg-smproxy 1.0.7-1
xorg-x11perf 1.6.2-1
xorg-xbacklight 1.2.3-3
xorg-xcmsdb 1.0.6-1
xorg-xcursorgen 1.0.8-1
xorg-xdpyinfo 1.3.4-1
xorg-xdriinfo 1.0.7-1
xorg-xev 1.2.5-1
xorg-xeyes 1.3.0-1
xorg-xgamma 1.0.7-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkbevd 1.1.5-1
xorg-xkbutils 1.0.5-1
xorg-xkill 1.0.6-1
xorg-xlsatoms 1.1.4-1
xorg-xlsclients 1.1.5-1
xorg-xmodmap 1.0.11-1
xorg-xpr 1.1.0-1
xorg-xrefresh 1.0.7-1
xorg-xvinfo 1.1.5-1
xorg-xwd 1.0.9-1
xorg-xwininfo 1.1.6-1
xorg-xwud 1.0.6-1
xpenguins 3.2.1-3
xsel 1.2.1-1
xterm 384-1
xwallpaper 0.7.4-1
yay 12.1.2-1
ytfzf 2.6.0-1
zathura 0.5.2-2
zathura-djvu 0.2.9-2
zathura-pdf-poppler 0.3.1-2
zathura-ps 0.2.7-2
zsh 5.9-4
